areset=1 | in=0 | out_fsm=0   
areset=0 | in=0 | out_fsm=0   
areset=0 | in=0 | out_fsm=0   
areset=0 | in=1 | out_fsm=0   
areset=0 | in=0 | out_fsm=1   
areset=0 | in=0 | out_fsm=1   
areset=0 | in=0 | out_fsm=1   
areset=0 | in=1 | out_fsm=1   
areset=0 | in=0 | out_fsm=0   
areset=0 | in=0 | out_fsm=0   
areset=0 | in=0 | out_fsm=0   
areset=0 | in=0 | out_fsm=0   
areset=0 | in=1 | out_fsm=0   
areset=0 | in=0 | out_fsm=1   
areset=0 | in=0 | out_fsm=1   
areset=0 | in=0 | out_fsm=1   
areset=1 | in=0 | out_fsm=0   
areset=0 | in=0 | out_fsm=0   
